00101c12 string-utf8 GLIBC_2.3.4
00101c1e string-utf8 /usr/libexec/sudo
0012a004 string -> %s @ %s:%d
0012a012 string <- %s @ %s:%d := %s
0012a02b string false
0012a031 string cycle in %s "%s"
0012a042 string <- %s @ %s:%d
0012a050 string <- %s @ %s:%d := %d
0012a064 string unable to allocate memory
0012a07e string <- %s @ %s:%d := %p
0012a092 string (null)
0012a099 string ignoring editor: %.*s
0012a0b2 string SUDO_EDITOR
0012a0be string VISUAL
0012a0c7 string resolving %s
0012a0d4 string %.*s/%s
0012a0e1 string found %s
0012a0f1 string localhost
0012a0fb string /dev/tty
0012a104 string  exiting due to signal: 
0012a11d string unable to execute %s
0012a132 string unable to run %s
0012a143 string %s is not a regular file
0012a15c string %s busy, try again later
0012a175 string unable to lock %s
0012a187 string Edit anyway? [y/N]
0012a19a string unable to stat %s
0012a1ac string %s.tmp
0012a1b3 string write error
0012a1bf string unable to read the clock
0012a1d8 string %s unchanged
0012a1e9 string visudo
0012a1f0 string /usr/libexec/sudo/
0012a203 string /etc/ldap.conf
0012a212 string /etc/ldap.secret
0012a223 string /usr/share/locale
0012a235 string sudoers_policy
0012a244 string sudoers_file=
0012a252 string sudoers_uid=
0012a25f string sudoers_gid=
0012a26c string sudoers_mode=
0012a27a string %s version %s 
0012a292 string %s grammar version %d 
0012a2b4 string cvtsudoers
0012a2bf string SUDO_USER
0012a2c9 string passwd
0012a2d0 string %s: parsed OK 
0012a2df string press return to edit %s: 
0012a2fc string What now? 
0012a307 string /bin/mv
0012a30f string unable to open %s
0012a32a string elvis
0012a35d string export
0012a369 string no-includes
0012a37b string strict
0012a382 string version
0012a38a string /etc/sudoers
0012a397 string Host_Alias
0012a3a2 string Cmnd_Alias
0012a3ad string Invalid_Alias
0012a3bb string Runas_Alias
0012a3c7 string User_Alias
0012a3d2 string cache hit
0012a3dc string cached
0012a3e8 string can't cache path "%s"
0012a3fe string %s: path %s -> %s (%s)
0012a415 string unknown defaults entry "%s"
0012a431 string infinity
0012a43a string front-end
0012a444 string authpriv
0012a44d string no value specified for "%s"
0012a469 string path name for "%s" too long
0012a485 string %s is %s
0012a491 string %s: %s:%d:%d: %s=%s op=%d
0012a4b0 string %s: setting Defaults %s -> %s
0012a4ce string %{seq}
0012a4d5 string /var/log/sudo-io
0012a4e6 string sudo-i
0012a4ed string ~/.sudo_as_admin_successful
0012a50d string notice
0012a514 string alert
0012a522 string Sorry, try again.
0012a534 string /var/lib/sudo/lectured
0012a54b string /run/sudo/ts
0012a558 string [sudo] password for %p: 
0012a571 string /usr/sbin/sendmail
0012a587 string /usr/bin/editor
0012a5a8 string what: 0x%02x
0012a5b5 string syslog
0012a5bc string syslog_goodpri
0012a5cb string syslog_badpri
0012a5d9 string long_otp_prompt
0012a5e9 string ignore_dot
