00100394 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100541 string-utf8 _ITM_deregisterTMCloneTable
0010055d string-utf8 __gmon_start__
0010056c string-utf8 _ITM_registerTMCloneTable
00100586 string-utf8 XInternAtom
00100592 string-utf8 XChangeProperty
001005a2 string-utf8 XDisplayName
001005af string-utf8 XOpenDisplay
001005bc string-utf8 XCloseDisplay
001005ca string-utf8 exit
001005cf string-utf8 strlen
001005d6 string-utf8 __fprintf_chk
001005e4 string-utf8 __libc_start_main
001005f6 string-utf8 stderr
001005fd string-utf8 __cxa_finalize
0010060c string-utf8 libX11.so.6
00100618 string-utf8 libc.so.6
00100622 string-utf8 GLIBC_2.3.4
0010062e string-utf8 GLIBC_2.2.5
0010063a string-utf8 GLIBC_2.34
00102008 string usage: %s [-display Xvnc-display] host[:port] Tells Xvnc to connect to a listening VNC viewer on the given host and port 
00102088 string %s: unable to open display "%s" 
001020a9 string VNC_CONNECT
001020f9 string zR
00102129 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/tightvncserver.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .note.gnu.property
.shstrtab::0000001e string-utf8 .note.gnu.build-id
.shstrtab::00000031 string-utf8 .interp
.shstrtab::00000039 string-utf8 .gnu.hash
.shstrtab::00000043 string-utf8 .dynsym
.shstrtab::0000004b string-utf8 .dynstr
.shstrtab::00000053 string-utf8 .gnu.version
.shstrtab::00000060 string-utf8 .gnu.version_r
.shstrtab::0000006f string-utf8 .rela.dyn
.shstrtab::00000079 string-utf8 .rela.plt
.shstrtab::00000083 string-utf8 .init
.shstrtab::00000089 string-utf8 .plt.got
.shstrtab::00000092 string-utf8 .text
.shstrtab::00000098 string-utf8 .fini
.shstrtab::0000009e string-utf8 .rodata
.shstrtab::000000a6 string-utf8 .eh_frame_hdr
.shstrtab::000000b4 string-utf8 .eh_frame
.shstrtab::000000be string-utf8 .note.ABI-tag
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .dynamic
.shstrtab::000000ed string-utf8 .data
.shstrtab::000000f3 string-utf8 .bss
.shstrtab::000000f8 string-utf8 .gnu_debugaltlink
.shstrtab::0000010a string-utf8 .gnu_debuglink
