00102a9c string _POSIX_THREAD_SAFE_FUNCTIONS
00102ab9 string _POSIX_TIMERS
00102ac7 string _POSIX_TZNAME_MAX
00102ad9 string _POSIX_VERSION
00102ae8 string _T_IOV_MAX
00102af3 string _XOPEN_CRYPT
00102b00 string _XOPEN_ENH_I18N
00102b10 string _XOPEN_LEGACY
00102b1e string _XOPEN_REALTIME
00102b2e string _XOPEN_REALTIME_THREADS
00102b46 string _XOPEN_SHM
00102b51 string _XOPEN_UNIX
00102b5d string _XOPEN_VERSION
00102b6c string _XOPEN_XCU_VERSION
00102ba3 string CHARCLASS_NAME_MAX
00102bb6 string EQUIV_CLASS_MAX
00102bc6 string POSIX2_BC_BASE_MAX
00102bd9 string POSIX2_BC_DIM_MAX
00102beb string POSIX2_BC_SCALE_MAX
00102bff string POSIX2_BC_STRING_MAX
00102c14 string POSIX2_CHAR_TERM
00102c25 string POSIX2_COLL_WEIGHTS_MAX
00102c3d string POSIX2_C_BIND
00102c4b string POSIX2_C_DEV
00102c58 string POSIX2_C_VERSION
00102c69 string POSIX2_EXPR_NEST_MAX
00102c7e string POSIX2_FORT_DEV
00102c8e string POSIX2_FORT_RUN
00102c9e string _POSIX2_LINE_MAX
00102caf string POSIX2_LOCALEDEF
00102cc0 string POSIX2_RE_DUP_MAX
00102cd2 string POSIX2_SW_DEV
00102ce0 string POSIX2_UPE
00102ceb string POSIX2_VERSION
00102cfa string CS_PATH
00102d02 string LFS_CFLAGS
00102d0d string LFS_LDFLAGS
00102d19 string LFS_LIBS
00102d22 string LFS_LINTFLAGS
00102d30 string LFS64_CFLAGS
00102d3d string LFS64_LDFLAGS
00102d4b string LFS64_LIBS
00102d56 string LFS64_LINTFLAGS
00102d66 string _XBS5_WIDTH_RESTRICTED_ENVS
00102d82 string _XBS5_ILP32_OFF32
00102d94 string XBS5_ILP32_OFF32_CFLAGS
00102dac string XBS5_ILP32_OFF32_LDFLAGS
00102dc5 string XBS5_ILP32_OFF32_LIBS
00102ddb string XBS5_ILP32_OFF32_LINTFLAGS
