00100318 TerminatedCString /lib64/ld-linux-x86-64.so.2
00100699 string-utf8 __cxa_finalize
001006a8 string-utf8 __printf_chk
001006b5 string-utf8 read
001006ba string-utf8 pthread_mutex_lock
001006cd string-utf8 pthread_mutex_unlock
001006e2 string-utf8 fcntl
001006e8 string-utf8 getpid
001006ef string-utf8 memmove
001006f7 string-utf8 sendmsg
001006ff string-utf8 __libc_start_main
00100711 string-utf8 socket
00100718 string-utf8 dcgettext
00100722 string-utf8 getopt_long
0010072e string-utf8 puts
00100733 string-utf8 close
00100739 string-utf8 pthread_create
00100748 string-utf8 open
0010074d string-utf8 recvmsg
00100755 string-utf8 bind
0010075a string-utf8 memcpy
00100761 string-utf8 perror
00100768 string-utf8 __errno_location
00100779 string-utf8 __syslog_chk
00100786 string-utf8 __stack_chk_fail
00100797 string-utf8 setsockopt
001007a2 string-utf8 time
001007a7 string-utf8 libc.so.6
001007b1 string-utf8 GLIBC_2.3.4
001007bd string-utf8 GLIBC_2.14
001007c8 string-utf8 GLIBC_2.4
001007d2 string-utf8 GLIBC_2.2.5
001007de string-utf8 GLIBC_2.34
001007e9 string-utf8 _ITM_deregisterTMCloneTable
00100805 string-utf8 __gmon_start__
00100814 string-utf8 _ITM_registerTMCloneTable
00104007 string Usage: %s 
00104012 string miredo v1.2.6
00104020 string pthread_create
0010402f string teredo_socket
0010403d string teredo_socket(server)
00104058 string version
00104060 string miredo
00104070 string Multiple Teredo prefixes received
001040d0 string /dev/random
00104299 string zR
001042c9 string zR
.gnu_debugaltlink::00000000 string /usr/lib/debug/.dwz/x86_64-linux-gnu/miredo.debug
.shstrtab::00000001 string-utf8 .shstrtab
.shstrtab::0000000b string-utf8 .interp
.shstrtab::00000013 string-utf8 .note.gnu.property
.shstrtab::00000026 string-utf8 .note.gnu.build-id
.shstrtab::00000039 string-utf8 .note.ABI-tag
.shstrtab::00000047 string-utf8 .gnu.hash
.shstrtab::00000051 string-utf8 .dynsym
.shstrtab::00000059 string-utf8 .dynstr
.shstrtab::00000061 string-utf8 .gnu.version
.shstrtab::0000006e string-utf8 .gnu.version_r
.shstrtab::0000007d string-utf8 .rela.dyn
.shstrtab::00000087 string-utf8 .rela.plt
.shstrtab::00000091 string-utf8 .init
.shstrtab::00000097 string-utf8 .plt.got
.shstrtab::000000a0 string-utf8 .text
.shstrtab::000000a6 string-utf8 .fini
.shstrtab::000000ac string-utf8 .rodata
.shstrtab::000000b4 string-utf8 .eh_frame_hdr
.shstrtab::000000c2 string-utf8 .eh_frame
.shstrtab::000000cc string-utf8 .init_array
.shstrtab::000000d8 string-utf8 .fini_array
.shstrtab::000000e4 string-utf8 .data.rel.ro
.shstrtab::000000f1 string-utf8 .dynamic
.shstrtab::000000fa string-utf8 .got.plt
.shstrtab::00000103 string-utf8 .data
.shstrtab::00000109 string-utf8 .bss
.shstrtab::0000010e string-utf8 .gnu_debugaltlink
.shstrtab::00000120 string-utf8 .gnu_debuglink
